,Actual,Predicted,nPredictions,name
0,yes,yes,383,LSTM_LN_Model
1,yes,no,0,LSTM_LN_Model
2,yes,up,0,LSTM_LN_Model
3,yes,down,6,LSTM_LN_Model
4,yes,left,1,LSTM_LN_Model
5,yes,right,1,LSTM_LN_Model
6,yes,on,1,LSTM_LN_Model
7,yes,off,0,LSTM_LN_Model
8,yes,stop,0,LSTM_LN_Model
9,yes,go,0,LSTM_LN_Model
10,yes,unknown word,4,LSTM_LN_Model
11,no,yes,7,LSTM_LN_Model
12,no,no,282,LSTM_LN_Model
13,no,up,2,LSTM_LN_Model
14,no,down,21,LSTM_LN_Model
15,no,left,13,LSTM_LN_Model
16,no,right,0,LSTM_LN_Model
17,no,on,0,LSTM_LN_Model
18,no,off,1,LSTM_LN_Model
19,no,stop,0,LSTM_LN_Model
20,no,go,60,LSTM_LN_Model
21,no,unknown word,10,LSTM_LN_Model
22,up,yes,0,LSTM_LN_Model
23,up,no,0,LSTM_LN_Model
24,up,up,335,LSTM_LN_Model
25,up,down,11,LSTM_LN_Model
26,up,left,0,LSTM_LN_Model
27,up,right,0,LSTM_LN_Model
28,up,on,1,LSTM_LN_Model
29,up,off,8,LSTM_LN_Model
30,up,stop,8,LSTM_LN_Model
31,up,go,17,LSTM_LN_Model
32,up,unknown word,16,LSTM_LN_Model
33,down,yes,3,LSTM_LN_Model
34,down,no,24,LSTM_LN_Model
35,down,up,1,LSTM_LN_Model
36,down,down,324,LSTM_LN_Model
37,down,left,5,LSTM_LN_Model
38,down,right,0,LSTM_LN_Model
39,down,on,1,LSTM_LN_Model
40,down,off,0,LSTM_LN_Model
41,down,stop,2,LSTM_LN_Model
42,down,go,21,LSTM_LN_Model
43,down,unknown word,15,LSTM_LN_Model
44,left,yes,20,LSTM_LN_Model
45,left,no,1,LSTM_LN_Model
46,left,up,5,LSTM_LN_Model
47,left,down,3,LSTM_LN_Model
48,left,left,344,LSTM_LN_Model
49,left,right,3,LSTM_LN_Model
50,left,on,0,LSTM_LN_Model
51,left,off,0,LSTM_LN_Model
52,left,stop,5,LSTM_LN_Model
53,left,go,1,LSTM_LN_Model
54,left,unknown word,14,LSTM_LN_Model
55,right,yes,1,LSTM_LN_Model
56,right,no,0,LSTM_LN_Model
57,right,up,3,LSTM_LN_Model
58,right,down,1,LSTM_LN_Model
59,right,left,14,LSTM_LN_Model
60,right,right,341,LSTM_LN_Model
61,right,on,2,LSTM_LN_Model
62,right,off,3,LSTM_LN_Model
63,right,stop,1,LSTM_LN_Model
64,right,go,3,LSTM_LN_Model
65,right,unknown word,27,LSTM_LN_Model
66,on,yes,0,LSTM_LN_Model
67,on,no,1,LSTM_LN_Model
68,on,up,45,LSTM_LN_Model
69,on,down,4,LSTM_LN_Model
70,on,left,1,LSTM_LN_Model
71,on,right,2,LSTM_LN_Model
72,on,on,282,LSTM_LN_Model
73,on,off,19,LSTM_LN_Model
74,on,stop,4,LSTM_LN_Model
75,on,go,15,LSTM_LN_Model
76,on,unknown word,23,LSTM_LN_Model
77,off,yes,2,LSTM_LN_Model
78,off,no,3,LSTM_LN_Model
79,off,up,67,LSTM_LN_Model
80,off,down,3,LSTM_LN_Model
81,off,left,5,LSTM_LN_Model
82,off,right,0,LSTM_LN_Model
83,off,on,1,LSTM_LN_Model
84,off,off,275,LSTM_LN_Model
85,off,stop,4,LSTM_LN_Model
86,off,go,10,LSTM_LN_Model
87,off,unknown word,26,LSTM_LN_Model
88,stop,yes,0,LSTM_LN_Model
89,stop,no,0,LSTM_LN_Model
90,stop,up,2,LSTM_LN_Model
91,stop,down,2,LSTM_LN_Model
92,stop,left,0,LSTM_LN_Model
93,stop,right,0,LSTM_LN_Model
94,stop,on,0,LSTM_LN_Model
95,stop,off,0,LSTM_LN_Model
96,stop,stop,372,LSTM_LN_Model
97,stop,go,4,LSTM_LN_Model
98,stop,unknown word,16,LSTM_LN_Model
99,go,yes,2,LSTM_LN_Model
100,go,no,13,LSTM_LN_Model
101,go,up,4,LSTM_LN_Model
102,go,down,41,LSTM_LN_Model
103,go,left,3,LSTM_LN_Model
104,go,right,0,LSTM_LN_Model
105,go,on,2,LSTM_LN_Model
106,go,off,1,LSTM_LN_Model
107,go,stop,1,LSTM_LN_Model
108,go,go,307,LSTM_LN_Model
109,go,unknown word,22,LSTM_LN_Model
110,unknown word,yes,4,LSTM_LN_Model
111,unknown word,no,13,LSTM_LN_Model
112,unknown word,up,15,LSTM_LN_Model
113,unknown word,down,34,LSTM_LN_Model
114,unknown word,left,15,LSTM_LN_Model
