,Actual,Predicted,nPredictions,name
0,yes,yes,353,CNN_RNN_Model
1,yes,no,0,CNN_RNN_Model
2,yes,up,4,CNN_RNN_Model
3,yes,down,0,CNN_RNN_Model
4,yes,left,31,CNN_RNN_Model
5,yes,right,0,CNN_RNN_Model
6,yes,on,1,CNN_RNN_Model
7,yes,off,0,CNN_RNN_Model
8,yes,stop,0,CNN_RNN_Model
9,yes,go,0,CNN_RNN_Model
10,yes,unknown word,7,CNN_RNN_Model
11,no,yes,0,CNN_RNN_Model
12,no,no,297,CNN_RNN_Model
13,no,up,2,CNN_RNN_Model
14,no,down,26,CNN_RNN_Model
15,no,left,9,CNN_RNN_Model
16,no,right,5,CNN_RNN_Model
17,no,on,31,CNN_RNN_Model
18,no,off,0,CNN_RNN_Model
19,no,stop,3,CNN_RNN_Model
20,no,go,3,CNN_RNN_Model
21,no,unknown word,20,CNN_RNN_Model
22,up,yes,0,CNN_RNN_Model
23,up,no,0,CNN_RNN_Model
24,up,up,362,CNN_RNN_Model
25,up,down,0,CNN_RNN_Model
26,up,left,9,CNN_RNN_Model
27,up,right,2,CNN_RNN_Model
28,up,on,9,CNN_RNN_Model
29,up,off,7,CNN_RNN_Model
30,up,stop,6,CNN_RNN_Model
31,up,go,1,CNN_RNN_Model
32,up,unknown word,0,CNN_RNN_Model
33,down,yes,1,CNN_RNN_Model
34,down,no,6,CNN_RNN_Model
35,down,up,6,CNN_RNN_Model
36,down,down,288,CNN_RNN_Model
37,down,left,13,CNN_RNN_Model
38,down,right,4,CNN_RNN_Model
39,down,on,48,CNN_RNN_Model
40,down,off,0,CNN_RNN_Model
41,down,stop,1,CNN_RNN_Model
42,down,go,25,CNN_RNN_Model
43,down,unknown word,4,CNN_RNN_Model
44,left,yes,3,CNN_RNN_Model
45,left,no,0,CNN_RNN_Model
46,left,up,8,CNN_RNN_Model
47,left,down,1,CNN_RNN_Model
48,left,left,371,CNN_RNN_Model
49,left,right,6,CNN_RNN_Model
50,left,on,0,CNN_RNN_Model
51,left,off,1,CNN_RNN_Model
52,left,stop,2,CNN_RNN_Model
53,left,go,0,CNN_RNN_Model
54,left,unknown word,4,CNN_RNN_Model
55,right,yes,0,CNN_RNN_Model
56,right,no,0,CNN_RNN_Model
57,right,up,10,CNN_RNN_Model
58,right,down,0,CNN_RNN_Model
59,right,left,29,CNN_RNN_Model
60,right,right,333,CNN_RNN_Model
61,right,on,8,CNN_RNN_Model
62,right,off,0,CNN_RNN_Model
63,right,stop,0,CNN_RNN_Model
64,right,go,16,CNN_RNN_Model
65,right,unknown word,0,CNN_RNN_Model
66,on,yes,0,CNN_RNN_Model
67,on,no,0,CNN_RNN_Model
68,on,up,26,CNN_RNN_Model
69,on,down,2,CNN_RNN_Model
70,on,left,3,CNN_RNN_Model
71,on,right,1,CNN_RNN_Model
72,on,on,352,CNN_RNN_Model
73,on,off,3,CNN_RNN_Model
74,on,stop,5,CNN_RNN_Model
75,on,go,3,CNN_RNN_Model
76,on,unknown word,1,CNN_RNN_Model
77,off,yes,1,CNN_RNN_Model
78,off,no,0,CNN_RNN_Model
79,off,up,48,CNN_RNN_Model
80,off,down,0,CNN_RNN_Model
81,off,left,12,CNN_RNN_Model
82,off,right,0,CNN_RNN_Model
83,off,on,12,CNN_RNN_Model
84,off,off,317,CNN_RNN_Model
85,off,stop,5,CNN_RNN_Model
86,off,go,1,CNN_RNN_Model
87,off,unknown word,0,CNN_RNN_Model
88,stop,yes,0,CNN_RNN_Model
89,stop,no,0,CNN_RNN_Model
90,stop,up,11,CNN_RNN_Model
91,stop,down,0,CNN_RNN_Model
92,stop,left,34,CNN_RNN_Model
93,stop,right,0,CNN_RNN_Model
94,stop,on,4,CNN_RNN_Model
95,stop,off,1,CNN_RNN_Model
96,stop,stop,344,CNN_RNN_Model
97,stop,go,0,CNN_RNN_Model
98,stop,unknown word,2,CNN_RNN_Model
99,go,yes,0,CNN_RNN_Model
100,go,no,1,CNN_RNN_Model
101,go,up,23,CNN_RNN_Model
102,go,down,2,CNN_RNN_Model
103,go,left,8,CNN_RNN_Model
104,go,right,22,CNN_RNN_Model
105,go,on,12,CNN_RNN_Model
106,go,off,0,CNN_RNN_Model
107,go,stop,1,CNN_RNN_Model
108,go,go,326,CNN_RNN_Model
109,go,unknown word,1,CNN_RNN_Model
110,unknown word,yes,15,CNN_RNN_Model
111,unknown word,no,18,CNN_RNN_Model
112,unknown word,up,26,CNN_RNN_Model
113,unknown word,down,8,CNN_RNN_Model
114,unknown word,left,119,CNN_RNN_Model
115,unknown word,right,12,CNN_RNN_Model
116,unknown word,on,49,CNN_RNN_Model
117,unknown word,off,2,CNN_RNN_Model
118,unknown word,stop,40,CNN_RNN_Model
119,unknown word,go,15,CNN_RNN_Model
120,unknown word,unknown word,117,CNN_RNN_Model
121,yes,yes,378,LSTM_LN_Model
122,yes,no,0,LSTM_LN_Model
123,yes,up,2,LSTM_LN_Model
124,yes,down,0,LSTM_LN_Model
125,yes,left,4,LSTM_LN_Model
126,yes,right,0,LSTM_LN_Model
127,yes,on,5,LSTM_LN_Model
128,yes,off,0,LSTM_LN_Model
129,yes,stop,0,LSTM_LN_Model
130,yes,go,0,LSTM_LN_Model
131,yes,unknown word,7,LSTM_LN_Model
132,no,yes,0,LSTM_LN_Model
133,no,no,385,LSTM_LN_Model
134,no,up,2,LSTM_LN_Model
135,no,down,1,LSTM_LN_Model
136,no,left,0,LSTM_LN_Model
137,no,right,0,LSTM_LN_Model
138,no,on,7,LSTM_LN_Model
139,no,off,0,LSTM_LN_Model
140,no,stop,0,LSTM_LN_Model
141,no,go,0,LSTM_LN_Model
142,no,unknown word,1,LSTM_LN_Model
143,up,yes,0,LSTM_LN_Model
144,up,no,1,LSTM_LN_Model
145,up,up,364,LSTM_LN_Model
146,up,down,0,LSTM_LN_Model
147,up,left,0,LSTM_LN_Model
148,up,right,0,LSTM_LN_Model
149,up,on,3,LSTM_LN_Model
150,up,off,26,LSTM_LN_Model
151,up,stop,0,LSTM_LN_Model
152,up,go,1,LSTM_LN_Model
153,up,unknown word,1,LSTM_LN_Model
154,down,yes,0,LSTM_LN_Model
155,down,no,8,LSTM_LN_Model
156,down,up,3,LSTM_LN_Model
157,down,down,370,LSTM_LN_Model
158,down,left,5,LSTM_LN_Model
159,down,right,0,LSTM_LN_Model
160,down,on,5,LSTM_LN_Model
161,down,off,0,LSTM_LN_Model
162,down,stop,0,LSTM_LN_Model
163,down,go,0,LSTM_LN_Model
164,down,unknown word,5,LSTM_LN_Model
165,left,yes,0,LSTM_LN_Model
166,left,no,0,LSTM_LN_Model
167,left,up,5,LSTM_LN_Model
168,left,down,0,LSTM_LN_Model
169,left,left,380,LSTM_LN_Model
170,left,right,0,LSTM_LN_Model
171,left,on,1,LSTM_LN_Model
172,left,off,2,LSTM_LN_Model
173,left,stop,0,LSTM_LN_Model
174,left,go,0,LSTM_LN_Model
175,left,unknown word,8,LSTM_LN_Model
176,right,yes,0,LSTM_LN_Model
177,right,no,0,LSTM_LN_Model
178,right,up,4,LSTM_LN_Model
179,right,down,0,LSTM_LN_Model
180,right,left,0,LSTM_LN_Model
181,right,right,375,LSTM_LN_Model
182,right,on,5,LSTM_LN_Model
183,right,off,3,LSTM_LN_Model
184,right,stop,0,LSTM_LN_Model
185,right,go,0,LSTM_LN_Model
186,right,unknown word,9,LSTM_LN_Model
187,on,yes,0,LSTM_LN_Model
188,on,no,1,LSTM_LN_Model
189,on,up,10,LSTM_LN_Model
190,on,down,0,LSTM_LN_Model
191,on,left,0,LSTM_LN_Model
192,on,right,0,LSTM_LN_Model
193,on,on,370,LSTM_LN_Model
194,on,off,13,LSTM_LN_Model
195,on,stop,0,LSTM_LN_Model
196,on,go,0,LSTM_LN_Model
197,on,unknown word,2,LSTM_LN_Model
198,off,yes,0,LSTM_LN_Model
199,off,no,0,LSTM_LN_Model
200,off,up,9,LSTM_LN_Model
201,off,down,0,LSTM_LN_Model
202,off,left,1,LSTM_LN_Model
203,off,right,0,LSTM_LN_Model
204,off,on,4,LSTM_LN_Model
205,off,off,381,LSTM_LN_Model
206,off,stop,1,LSTM_LN_Model
207,off,go,0,LSTM_LN_Model
208,off,unknown word,0,LSTM_LN_Model
209,stop,yes,0,LSTM_LN_Model
210,stop,no,0,LSTM_LN_Model
211,stop,up,7,LSTM_LN_Model
212,stop,down,4,LSTM_LN_Model
213,stop,left,0,LSTM_LN_Model
214,stop,right,0,LSTM_LN_Model
215,stop,on,0,LSTM_LN_Model
216,stop,off,1,LSTM_LN_Model
217,stop,stop,381,LSTM_LN_Model
218,stop,go,0,LSTM_LN_Model
219,stop,unknown word,3,LSTM_LN_Model
220,go,yes,0,LSTM_LN_Model
221,go,no,5,LSTM_LN_Model
222,go,up,7,LSTM_LN_Model
223,go,down,3,LSTM_LN_Model
224,go,left,0,LSTM_LN_Model
225,go,right,0,LSTM_LN_Model
226,go,on,9,LSTM_LN_Model
227,go,off,4,LSTM_LN_Model
228,go,stop,0,LSTM_LN_Model
229,go,go,368,LSTM_LN_Model
230,go,unknown word,0,LSTM_LN_Model
231,unknown word,yes,0,LSTM_LN_Model
232,unknown word,no,5,LSTM_LN_Model
233,unknown word,up,12,LSTM_LN_Model
234,unknown word,down,0,LSTM_LN_Model
235,unknown word,left,3,LSTM_LN_Model
236,unknown word,right,0,LSTM_LN_Model
237,unknown word,on,20,LSTM_LN_Model
238,unknown word,off,8,LSTM_LN_Model
239,unknown word,stop,1,LSTM_LN_Model
240,unknown word,go,0,LSTM_LN_Model
241,unknown word,unknown word,372,LSTM_LN_Model
242,yes,yes,378,GRU_CNN_ATT
243,yes,no,2,GRU_CNN_ATT
244,yes,up,0,GRU_CNN_ATT
245,yes,down,4,GRU_CNN_ATT
246,yes,left,0,GRU_CNN_ATT
247,yes,right,0,GRU_CNN_ATT
248,yes,on,0,GRU_CNN_ATT
249,yes,off,0,GRU_CNN_ATT
250,yes,stop,0,GRU_CNN_ATT
251,yes,go,0,GRU_CNN_ATT
252,yes,unknown word,12,GRU_CNN_ATT
253,no,yes,0,GRU_CNN_ATT
254,no,no,376,GRU_CNN_ATT
255,no,up,1,GRU_CNN_ATT
256,no,down,15,GRU_CNN_ATT
257,no,left,0,GRU_CNN_ATT
258,no,right,0,GRU_CNN_ATT
259,no,on,1,GRU_CNN_ATT
260,no,off,0,GRU_CNN_ATT
261,no,stop,0,GRU_CNN_ATT
262,no,go,1,GRU_CNN_ATT
263,no,unknown word,2,GRU_CNN_ATT
264,up,yes,0,GRU_CNN_ATT
265,up,no,2,GRU_CNN_ATT
266,up,up,364,GRU_CNN_ATT
267,up,down,1,GRU_CNN_ATT
268,up,left,0,GRU_CNN_ATT
269,up,right,0,GRU_CNN_ATT
270,up,on,5,GRU_CNN_ATT
271,up,off,17,GRU_CNN_ATT
272,up,stop,0,GRU_CNN_ATT
273,up,go,3,GRU_CNN_ATT
274,up,unknown word,4,GRU_CNN_ATT
275,down,yes,0,GRU_CNN_ATT
276,down,no,6,GRU_CNN_ATT
277,down,up,1,GRU_CNN_ATT
278,down,down,378,GRU_CNN_ATT
279,down,left,0,GRU_CNN_ATT
280,down,right,0,GRU_CNN_ATT
281,down,on,1,GRU_CNN_ATT
282,down,off,0,GRU_CNN_ATT
283,down,stop,1,GRU_CNN_ATT
284,down,go,7,GRU_CNN_ATT
285,down,unknown word,2,GRU_CNN_ATT
286,left,yes,2,GRU_CNN_ATT
287,left,no,0,GRU_CNN_ATT
288,left,up,1,GRU_CNN_ATT
289,left,down,6,GRU_CNN_ATT
290,left,left,372,GRU_CNN_ATT
291,left,right,3,GRU_CNN_ATT
292,left,on,0,GRU_CNN_ATT
293,left,off,0,GRU_CNN_ATT
294,left,stop,0,GRU_CNN_ATT
295,left,go,2,GRU_CNN_ATT
296,left,unknown word,10,GRU_CNN_ATT
297,right,yes,0,GRU_CNN_ATT
298,right,no,0,GRU_CNN_ATT
299,right,up,2,GRU_CNN_ATT
300,right,down,3,GRU_CNN_ATT
301,right,left,0,GRU_CNN_ATT
302,right,right,372,GRU_CNN_ATT
303,right,on,2,GRU_CNN_ATT
304,right,off,1,GRU_CNN_ATT
305,right,stop,0,GRU_CNN_ATT
306,right,go,1,GRU_CNN_ATT
307,right,unknown word,15,GRU_CNN_ATT
308,on,yes,0,GRU_CNN_ATT
309,on,no,0,GRU_CNN_ATT
310,on,up,4,GRU_CNN_ATT
311,on,down,12,GRU_CNN_ATT
312,on,left,0,GRU_CNN_ATT
313,on,right,1,GRU_CNN_ATT
314,on,on,363,GRU_CNN_ATT
315,on,off,6,GRU_CNN_ATT
316,on,stop,0,GRU_CNN_ATT
317,on,go,4,GRU_CNN_ATT
318,on,unknown word,6,GRU_CNN_ATT
319,off,yes,2,GRU_CNN_ATT
320,off,no,0,GRU_CNN_ATT
321,off,up,8,GRU_CNN_ATT
322,off,down,0,GRU_CNN_ATT
323,off,left,0,GRU_CNN_ATT
324,off,right,0,GRU_CNN_ATT
325,off,on,10,GRU_CNN_ATT
326,off,off,368,GRU_CNN_ATT
327,off,stop,1,GRU_CNN_ATT
328,off,go,1,GRU_CNN_ATT
329,off,unknown word,6,GRU_CNN_ATT
330,stop,yes,2,GRU_CNN_ATT
331,stop,no,0,GRU_CNN_ATT
332,stop,up,0,GRU_CNN_ATT
333,stop,down,2,GRU_CNN_ATT
334,stop,left,0,GRU_CNN_ATT
335,stop,right,0,GRU_CNN_ATT
336,stop,on,0,GRU_CNN_ATT
337,stop,off,0,GRU_CNN_ATT
338,stop,stop,390,GRU_CNN_ATT
339,stop,go,1,GRU_CNN_ATT
340,stop,unknown word,1,GRU_CNN_ATT
341,go,yes,1,GRU_CNN_ATT
342,go,no,3,GRU_CNN_ATT
343,go,up,2,GRU_CNN_ATT
344,go,down,3,GRU_CNN_ATT
345,go,left,0,GRU_CNN_ATT
346,go,right,0,GRU_CNN_ATT
347,go,on,0,GRU_CNN_ATT
348,go,off,1,GRU_CNN_ATT
349,go,stop,0,GRU_CNN_ATT
350,go,go,381,GRU_CNN_ATT
351,go,unknown word,5,GRU_CNN_ATT
352,unknown word,yes,0,GRU_CNN_ATT
353,unknown word,no,5,GRU_CNN_ATT
354,unknown word,up,7,GRU_CNN_ATT
355,unknown word,down,15,GRU_CNN_ATT
356,unknown word,left,0,GRU_CNN_ATT
357,unknown word,right,5,GRU_CNN_ATT
358,unknown word,on,6,GRU_CNN_ATT
359,unknown word,off,1,GRU_CNN_ATT
360,unknown word,stop,2,GRU_CNN_ATT
361,unknown word,go,4,GRU_CNN_ATT
362,unknown word,unknown word,376,GRU_CNN_ATT
363,yes,yes,381,GRU_ATT
364,yes,no,0,GRU_ATT
365,yes,up,1,GRU_ATT
366,yes,down,2,GRU_ATT
367,yes,left,2,GRU_ATT
368,yes,right,0,GRU_ATT
369,yes,on,0,GRU_ATT
370,yes,off,2,GRU_ATT
371,yes,stop,0,GRU_ATT
372,yes,go,0,GRU_ATT
373,yes,unknown word,8,GRU_ATT
374,no,yes,0,GRU_ATT
375,no,no,380,GRU_ATT
376,no,up,1,GRU_ATT
377,no,down,1,GRU_ATT
378,no,left,2,GRU_ATT
379,no,right,0,GRU_ATT
380,no,on,0,GRU_ATT
381,no,off,0,GRU_ATT
382,no,stop,0,GRU_ATT
383,no,go,0,GRU_ATT
384,no,unknown word,12,GRU_ATT
385,up,yes,0,GRU_ATT
386,up,no,0,GRU_ATT
387,up,up,369,GRU_ATT
388,up,down,0,GRU_ATT
389,up,left,2,GRU_ATT
390,up,right,0,GRU_ATT
391,up,on,0,GRU_ATT
392,up,off,10,GRU_ATT
393,up,stop,6,GRU_ATT
394,up,go,6,GRU_ATT
395,up,unknown word,3,GRU_ATT
396,down,yes,1,GRU_ATT
397,down,no,7,GRU_ATT
398,down,up,0,GRU_ATT
399,down,down,377,GRU_ATT
400,down,left,2,GRU_ATT
401,down,right,0,GRU_ATT
402,down,on,0,GRU_ATT
403,down,off,0,GRU_ATT
404,down,stop,2,GRU_ATT
405,down,go,2,GRU_ATT
406,down,unknown word,5,GRU_ATT
407,left,yes,0,GRU_ATT
408,left,no,0,GRU_ATT
409,left,up,0,GRU_ATT
410,left,down,0,GRU_ATT
411,left,left,386,GRU_ATT
412,left,right,0,GRU_ATT
413,left,on,0,GRU_ATT
414,left,off,0,GRU_ATT
415,left,stop,0,GRU_ATT
416,left,go,0,GRU_ATT
417,left,unknown word,10,GRU_ATT
418,right,yes,0,GRU_ATT
419,right,no,0,GRU_ATT
420,right,up,1,GRU_ATT
421,right,down,1,GRU_ATT
422,right,left,0,GRU_ATT
423,right,right,375,GRU_ATT
424,right,on,0,GRU_ATT
425,right,off,0,GRU_ATT
426,right,stop,0,GRU_ATT
427,right,go,0,GRU_ATT
428,right,unknown word,19,GRU_ATT
429,on,yes,0,GRU_ATT
430,on,no,0,GRU_ATT
431,on,up,4,GRU_ATT
432,on,down,5,GRU_ATT
433,on,left,0,GRU_ATT
434,on,right,0,GRU_ATT
435,on,on,349,GRU_ATT
436,on,off,10,GRU_ATT
437,on,stop,0,GRU_ATT
438,on,go,7,GRU_ATT
439,on,unknown word,21,GRU_ATT
440,off,yes,2,GRU_ATT
441,off,no,0,GRU_ATT
442,off,up,11,GRU_ATT
443,off,down,0,GRU_ATT
444,off,left,3,GRU_ATT
445,off,right,0,GRU_ATT
446,off,on,3,GRU_ATT
447,off,off,364,GRU_ATT
448,off,stop,0,GRU_ATT
449,off,go,2,GRU_ATT
450,off,unknown word,11,GRU_ATT
451,stop,yes,0,GRU_ATT
452,stop,no,0,GRU_ATT
453,stop,up,0,GRU_ATT
454,stop,down,2,GRU_ATT
455,stop,left,0,GRU_ATT
456,stop,right,0,GRU_ATT
457,stop,on,0,GRU_ATT
458,stop,off,0,GRU_ATT
459,stop,stop,389,GRU_ATT
460,stop,go,1,GRU_ATT
461,stop,unknown word,4,GRU_ATT
462,go,yes,0,GRU_ATT
463,go,no,2,GRU_ATT
464,go,up,4,GRU_ATT
465,go,down,2,GRU_ATT
466,go,left,0,GRU_ATT
467,go,right,0,GRU_ATT
468,go,on,0,GRU_ATT
469,go,off,0,GRU_ATT
470,go,stop,0,GRU_ATT
471,go,go,386,GRU_ATT
472,go,unknown word,2,GRU_ATT
473,unknown word,yes,0,GRU_ATT
474,unknown word,no,0,GRU_ATT
475,unknown word,up,9,GRU_ATT
476,unknown word,down,2,GRU_ATT
477,unknown word,left,9,GRU_ATT
478,unknown word,right,0,GRU_ATT
479,unknown word,on,0,GRU_ATT
480,unknown word,off,1,GRU_ATT
481,unknown word,stop,1,GRU_ATT
482,unknown word,go,3,GRU_ATT
483,unknown word,unknown word,396,GRU_ATT
484,yes,yes,358,RNNModel
485,yes,no,2,RNNModel
486,yes,up,3,RNNModel
487,yes,down,0,RNNModel
488,yes,left,0,RNNModel
489,yes,right,0,RNNModel
490,yes,on,0,RNNModel
491,yes,off,8,RNNModel
492,yes,stop,0,RNNModel
493,yes,go,0,RNNModel
494,yes,unknown word,25,RNNModel
495,no,yes,0,RNNModel
496,no,no,357,RNNModel
497,no,up,2,RNNModel
498,no,down,8,RNNModel
499,no,left,0,RNNModel
500,no,right,0,RNNModel
501,no,on,3,RNNModel
502,no,off,0,RNNModel
503,no,stop,3,RNNModel
504,no,go,0,RNNModel
505,no,unknown word,23,RNNModel
506,up,yes,0,RNNModel
507,up,no,0,RNNModel
508,up,up,376,RNNModel
509,up,down,0,RNNModel
510,up,left,0,RNNModel
511,up,right,0,RNNModel
512,up,on,5,RNNModel
513,up,off,7,RNNModel
514,up,stop,0,RNNModel
515,up,go,1,RNNModel
516,up,unknown word,7,RNNModel
517,down,yes,0,RNNModel
518,down,no,11,RNNModel
519,down,up,1,RNNModel
520,down,down,248,RNNModel
521,down,left,4,RNNModel
522,down,right,0,RNNModel
523,down,on,2,RNNModel
524,down,off,0,RNNModel
525,down,stop,3,RNNModel
526,down,go,1,RNNModel
527,down,unknown word,126,RNNModel
528,left,yes,1,RNNModel
529,left,no,0,RNNModel
530,left,up,6,RNNModel
531,left,down,0,RNNModel
532,left,left,355,RNNModel
533,left,right,0,RNNModel
534,left,on,0,RNNModel
535,left,off,3,RNNModel
536,left,stop,1,RNNModel
537,left,go,0,RNNModel
538,left,unknown word,30,RNNModel
539,right,yes,0,RNNModel
540,right,no,2,RNNModel
541,right,up,5,RNNModel
542,right,down,6,RNNModel
543,right,left,2,RNNModel
544,right,right,345,RNNModel
545,right,on,4,RNNModel
546,right,off,2,RNNModel
547,right,stop,1,RNNModel
548,right,go,0,RNNModel
549,right,unknown word,29,RNNModel
550,on,yes,0,RNNModel
551,on,no,1,RNNModel
552,on,up,23,RNNModel
553,on,down,12,RNNModel
554,on,left,0,RNNModel
555,on,right,1,RNNModel
556,on,on,337,RNNModel
557,on,off,3,RNNModel
558,on,stop,4,RNNModel
559,on,go,0,RNNModel
560,on,unknown word,15,RNNModel
561,off,yes,0,RNNModel
562,off,no,0,RNNModel
563,off,up,44,RNNModel
564,off,down,0,RNNModel
565,off,left,2,RNNModel
566,off,right,0,RNNModel
567,off,on,8,RNNModel
568,off,off,337,RNNModel
569,off,stop,3,RNNModel
570,off,go,0,RNNModel
571,off,unknown word,2,RNNModel
572,stop,yes,0,RNNModel
573,stop,no,1,RNNModel
574,stop,up,12,RNNModel
575,stop,down,1,RNNModel
576,stop,left,1,RNNModel
577,stop,right,0,RNNModel
578,stop,on,1,RNNModel
579,stop,off,1,RNNModel
580,stop,stop,371,RNNModel
581,stop,go,0,RNNModel
582,stop,unknown word,8,RNNModel
583,go,yes,0,RNNModel
584,go,no,7,RNNModel
585,go,up,19,RNNModel
586,go,down,5,RNNModel
587,go,left,1,RNNModel
588,go,right,1,RNNModel
589,go,on,5,RNNModel
590,go,off,1,RNNModel
591,go,stop,5,RNNModel
592,go,go,338,RNNModel
593,go,unknown word,14,RNNModel
594,unknown word,yes,1,RNNModel
595,unknown word,no,2,RNNModel
596,unknown word,up,19,RNNModel
597,unknown word,down,7,RNNModel
598,unknown word,left,7,RNNModel
599,unknown word,right,2,RNNModel
600,unknown word,on,13,RNNModel
601,unknown word,off,13,RNNModel
602,unknown word,stop,15,RNNModel
603,unknown word,go,1,RNNModel
604,unknown word,unknown word,341,RNNModel
605,yes,yes,385,LSTMModel
606,yes,no,1,LSTMModel
607,yes,up,0,LSTMModel
608,yes,down,0,LSTMModel
609,yes,left,2,LSTMModel
610,yes,right,1,LSTMModel
611,yes,on,0,LSTMModel
612,yes,off,0,LSTMModel
613,yes,stop,0,LSTMModel
614,yes,go,3,LSTMModel
615,yes,unknown word,4,LSTMModel
616,no,yes,0,LSTMModel
617,no,no,390,LSTMModel
618,no,up,1,LSTMModel
619,no,down,1,LSTMModel
620,no,left,2,LSTMModel
621,no,right,0,LSTMModel
622,no,on,0,LSTMModel
623,no,off,0,LSTMModel
624,no,stop,0,LSTMModel
625,no,go,0,LSTMModel
626,no,unknown word,2,LSTMModel
627,up,yes,0,LSTMModel
628,up,no,0,LSTMModel
629,up,up,375,LSTMModel
630,up,down,0,LSTMModel
631,up,left,0,LSTMModel
632,up,right,0,LSTMModel
633,up,on,0,LSTMModel
634,up,off,15,LSTMModel
635,up,stop,0,LSTMModel
636,up,go,2,LSTMModel
637,up,unknown word,4,LSTMModel
638,down,yes,0,LSTMModel
639,down,no,8,LSTMModel
640,down,up,1,LSTMModel
641,down,down,374,LSTMModel
642,down,left,4,LSTMModel
643,down,right,1,LSTMModel
644,down,on,1,LSTMModel
645,down,off,0,LSTMModel
646,down,stop,1,LSTMModel
647,down,go,6,LSTMModel
648,down,unknown word,0,LSTMModel
649,left,yes,0,LSTMModel
650,left,no,1,LSTMModel
651,left,up,0,LSTMModel
652,left,down,0,LSTMModel
653,left,left,389,LSTMModel
654,left,right,2,LSTMModel
655,left,on,0,LSTMModel
656,left,off,0,LSTMModel
657,left,stop,0,LSTMModel
658,left,go,1,LSTMModel
659,left,unknown word,3,LSTMModel
660,right,yes,0,LSTMModel
661,right,no,0,LSTMModel
662,right,up,2,LSTMModel
663,right,down,0,LSTMModel
664,right,left,1,LSTMModel
665,right,right,387,LSTMModel
666,right,on,3,LSTMModel
667,right,off,0,LSTMModel
668,right,stop,0,LSTMModel
669,right,go,0,LSTMModel
670,right,unknown word,3,LSTMModel
671,on,yes,0,LSTMModel
672,on,no,0,LSTMModel
673,on,up,4,LSTMModel
674,on,down,3,LSTMModel
675,on,left,2,LSTMModel
676,on,right,2,LSTMModel
677,on,on,368,LSTMModel
678,on,off,8,LSTMModel
679,on,stop,0,LSTMModel
680,on,go,5,LSTMModel
681,on,unknown word,4,LSTMModel
682,off,yes,0,LSTMModel
683,off,no,0,LSTMModel
684,off,up,13,LSTMModel
685,off,down,0,LSTMModel
686,off,left,3,LSTMModel
687,off,right,0,LSTMModel
688,off,on,3,LSTMModel
689,off,off,370,LSTMModel
690,off,stop,1,LSTMModel
691,off,go,3,LSTMModel
692,off,unknown word,3,LSTMModel
693,stop,yes,0,LSTMModel
694,stop,no,0,LSTMModel
695,stop,up,1,LSTMModel
696,stop,down,2,LSTMModel
697,stop,left,0,LSTMModel
698,stop,right,1,LSTMModel
699,stop,on,0,LSTMModel
700,stop,off,0,LSTMModel
701,stop,stop,388,LSTMModel
702,stop,go,3,LSTMModel
703,stop,unknown word,1,LSTMModel
704,go,yes,0,LSTMModel
705,go,no,2,LSTMModel
706,go,up,5,LSTMModel
707,go,down,1,LSTMModel
708,go,left,0,LSTMModel
709,go,right,1,LSTMModel
710,go,on,0,LSTMModel
711,go,off,2,LSTMModel
712,go,stop,0,LSTMModel
713,go,go,385,LSTMModel
714,go,unknown word,0,LSTMModel
715,unknown word,yes,1,LSTMModel
716,unknown word,no,1,LSTMModel
717,unknown word,up,9,LSTMModel
718,unknown word,down,0,LSTMModel
719,unknown word,left,4,LSTMModel
